Name	CoL ID	E_Rj (J/cm^3)	F_m (l/d.cm^2)	kap_X (-)	s_G (-)	h_a (1/d^2)	kap_P (-)	kap_R (-)	kap_V (-)	p_M (J/d.cm^3)	k_E (1/d)	E_G (J/cm^3)	p_T (J/d.cm^2)	s_j (-)	t_sj (d)	E_Hj (J)	E_He (J)	E_Hb (J)	k_J (1/d)	E_Hx (J)	E_Hp (J)	E_Hs (J)	p_Am (J/d.cm^2)	kap (-)	v (cm/d)	t_0 (d)
Boops boops	fb99b92f46db65d7f8a22d33ee501f04		6.5	0.8	0.0001	6.409e-09	0.1	0.95		30.44		5200.0	0.0			2.894		0.05099	0.002		22140.0		49.9119	0.9264	0.07114	
Bosmina longirostris	869bccad902dfe087fefb3d7f87982d8		6.5	0.8	0.0001	7.038e-06	0.1	0.95		1400.0		4439.0	0.0					0.001486	0.002		0.02108		83.6296	0.4838	0.02278	
Bos primigenius Angus	40e81482006c210a43ef64609163278e		6.5	0.8	0.1	1.24553e-12	0.1	0.95		36.3875		7782.35	0.0					4623570.0	0.002	32235600.0	45373700.0		2112.85	0.956962	0.127215	142.446
Bos primigenius Brahman	40e81482006c210a43ef64609163278e		6.5	0.8	0.1	4.79694e-12	0.1	0.95		24.9385		7836.06	0.0					6966400.0	0.002	34002700.0	63125400.0		1618.31	0.944389	0.105339	0.0201193
Bos primigenius Holstein	40e81482006c210a43ef64609163278e		6.5	0.8	0.1	3.02112e-12	0.1	0.95		34.7127		7845.66	0.0					10440800.0	0.002	17574400.0	63074700.0		2041.51	0.932161	0.105044	49.52
Brachidontes pharaonis	7e58b93994497ead236dd02370e5c733		6.5	0.75	0.0001	4.156e-08	0.1	0.95		14.24		2478.0	0.0			3.31e-05		3.938e-06	0.002		2.163		8.20212	0.983	0.01868	
Brachionus plicatilis	c1847141382c50836d8cf6c9cea31e71		0.2249	0.7	0.0001	0.001754	0.25	0.95		349.9		1545.0	0.0					0.0003132	0.002		0.0006225		16.601	0.2818	0.02445	
Branchiostoma floridae	56b084fe5a8af1fb6b065bd2b921487b		6.5	0.8	0.0001	3.967e-10	0.1	0.95		26.08		1565.0	0.0			0.09704		0.002335	0.001		8.591		6.23201	0.8286	0.0117	
Bubo scandiacus	1347e0b2597b16465cd5674f305fafd4		6.5	0.8	0.01	2.153e-18	0.1	0.95		826.719		7319.88	0.0					2192.0	0.002		2745000.0		6188.78	0.98093	0.20023	
Bubo virginianus	8cc3813fbee7a429055cc132b940107d		6.5	0.8	0.01	1.515e-19	0.1	0.95		1206.25		7327.5	0.0					784.4	0.002		985600.0		7126.22	0.99046	0.15811	
Buccinum undatum	1e9490fd92636d74588b2fc5f0870e54		6.5	0.2	0.0001	9.235e-09	0.5	0.475		44.158		3924.91	0.0			0.0001355		5.65e-05	0.002		1504.0		123.828	0.99636	0.032932	
Bucorvus leadbeateri	c37431d15839c9b467569ad3045869be		6.5	0.8	0.01	2.625e-25	0.1	0.95		332.976		7304.95	0.0					1476.0	0.002		1483000.0		3408.48	0.99062	0.18812	
Bufo bufo	e53ae9ac85ef2c141a509f6405bc98f7		6.5	0.8	0.0001	5.505e-10	0.1	0.95		105.4		7320.0	0.0					0.5665	0.002		83530.0		400.978	0.8832	0.04897	
Caenorhabditis elegans	64710e67cd5e7ae09722a643ba747af2		6.5	0.8	0.0001	0.0002171	0.1	0.95		2652.0		1811.0	0.0			0.000281		5.606e-06	0.002		0.0009903		17.5013	0.85	0.0893	
Caiman crocodilus	2169464fbc24236e32ec1d7b81a59a45		6.5	0.8	0.0001	1.553e-11	0.1	0.95		11.83		7842.0	0.0					13650.0	0.002		945900.0		289.884	0.9529	0.07878	
Calanus sinicus	522187c194196c1a2931e0e054be2ebe		6.5	0.18	0.0001	4.457e-05	0.7	0.95		1400.0		4400.0	0.0					0.00102	0.002		0.4417		167.65	0.8	0.0195	
