Name	CoL ID	E_Rj (J/cm^3)	F_m (l/d.cm^2)	kap_X (-)	s_G (-)	h_a (1/d^2)	kap_P (-)	kap_R (-)	kap_V (-)	p_M (J/d.cm^3)	k_E (1/d)	E_G (J/cm^3)	p_T (J/d.cm^2)	s_j (-)	t_sj (d)	E_Hj (J)	E_He (J)	E_Hb (J)	k_J (1/d)	E_Hx (J)	E_Hp (J)	E_Hs (J)	p_Am (J/d.cm^2)	kap (-)	v (cm/d)	t_0 (d)
Hirundichthys affinis	dcc59c1ff44e5086c007ead8f39618f7		6.5	0.8	0.0001	1.318e-07	0.1	0.95		112.9		5224.0	0.0					0.9751	0.002		30660.0		636.107	0.9389	0.1186	
Holocentrus adscensionis	09be05d2d25f1e7254c0380f441b7fa3		6.5	0.8	0.0001	1.636e-09	0.1	0.95		61.17		5221.0	0.0					0.0007625	0.002		433.0		538.444	0.9945	0.04622	
Homo sapiens	e3b90576561f93a8ac8b59e185b01511		6.5	0.25	0.1	1.205e-21	0.4	0.95		9.21406		7855.1	0.0					1253530.0	0.002	3938800.0	18991300.0		342.241	0.882169	0.0509786	148.105
Hydra viridissima	19190e1a47af46b36c952ecf9b80588d		6.5	0.8	0.0001	6.546e-18	0.1	0.95		61.08		261.0	0.0					0.001884	0.002		0.02273		8.58681	0.6106	0.0428	
Hydrochoerus hydrochaeris	cdece5c9f966826ad8a4f0b6b1c70d4c		6.5	0.8	0.1	2.5781e-22	0.1	0.95		26.9044		7796.02	0.0					581239.0	0.002	1092380.0	37925900.0		1245.33	0.93819	0.59275	127.01
Hydrocynus vittatus	ed61d5b61ce91a6d34fbca8211ce5a9c		6.5	0.8	0.0001	5.838e-09	0.1	0.95		6.245		5235.0	0.0			43.78		3.879	0.002		2965000.0		128.974	0.5273	0.03654	
Hylobates lar	b567774eedd1fd38ce9a26e2fddfc628		6.5	0.8	0.05	8.655e-13	0.1	0.95		7.074		7840.0	0.0					61720.0	0.002	185300.0	639100.0		111.731	0.925	0.01394	0.0
Hypsibius convergens	779e48ba14edf4787cd08b7e7401e63b		6.5	0.8	0.0001	2.152e-08	0.1	0.95		416.7		1822.0	0.0			1.257e-05		5.016e-06	0.002		4.831e-05		2.91012	0.9409	0.001776	
Hypsibius oberhaeuseri	1bd832ac6d7bb295abbd24520dbf0798		6.5	0.8	0.0001	4.319e-08	0.1	0.95		387.1		1828.0	0.0			6.106e-06		1.519e-06	0.002		1.637e-05		3.33114	0.9766	0.001139	
Hystrix africaeaustralis	2acff5dbbbdae886a56163692f0c86bb		6.5	0.8	0.1	1.72434e-35	0.1	0.95		61.7906		7827.55	0.0					152181.0	0.002	4291030.0	14423800.0		1315.08	0.926783	0.324866	81.1658
Ichthyophis kohtaoensis	897f721335748e93117c84bae4a39427		6.5	0.8	0.0001	3.714e-09	0.1	0.95		25.11		7313.0	0.0			30530.0		2885.0	0.002		88690.0		97.4379	0.7695	0.03078	
Kryptolebias marmoratus	8c24a2a18bf61d804420086edc99c306		6.5	0.8	0.0001	2.019e-08	0.1	0.95		193.0		5222.0	0.0					0.7696	0.002		8.571		139.591	0.8398	0.01045	
Lacerta agilis	7e1a059719ca73323daa52f23a19a64d		6.5	0.8	0.0001	7.819e-09	0.1	0.95		65.73		7832.0	0.0					390.8	0.002		18970.0		155.912	0.793	0.02887	
Lacerta strigata	13b6f7649bd9cb39390aa38518fca717		6.5	0.8	0.0001	1.339e-08	0.1	0.95		27.96		7829.0	0.0					2383.0	0.002		31380.0		124.753	0.5686	0.02265	
Lagorchestes conspicillatus	68f725633c4212acffbfa1a59952cdd4		6.5	0.371	0.1	4.65585e-11	0.1	0.95		52.6762		7832.64	0.0					372.959	0.002	1088820.0	2738170.0		711.277	0.767409	0.0329712	17.0
Lagorchestes hirsutus	e886ae8ef2084c39d3da70956b52cf31		6.5	0.371	0.1	1.86502e-24	0.3474	0.95		47.5152		7833.45	0.0					954.113	0.002	1389380.0	4564120.0		604.89	0.763675	0.151427	27.1944
Lagostrophus fasciatus	37ca2270c6d654da367c38945787f398		6.5	0.8	0.1	5.0747e-11	0.1	0.95		38.3039		7829.09	0.0					113.797	0.00202312	556203.0	718947.0		413.619	0.899677	0.0426542	16.1487
Lampetra planeri	7849536da20a2a4d44365ac33b8c8b98		6.5	0.8	0.5	3.345e-26	0.1	0.95		50.15		3235.0	0.0					127.2	0.002		24060.0		241.261	0.4413	0.2763	
Larus argentatus	5df2cbd6bb428a00eeed203289a3564b		6.5	0.8	0.01	2.471e-43	0.1	0.95		360.355		7329.53	0.0					3809.0	0.002		1113000.0		2937.92	0.98574	0.43436	
Latimeria chalumnae	46ffe2e071c4d553d33e36794a179846		6.5	0.8	0.0001	2.50386e-09	0.1	0.95		19.0595		5229.38	0.0					125605.0	0.002		27455400.0		716.317	0.725277	0.0478276	
Lemmus trimucronatus	6d229d483afce29dae4bee95e6d4cca0		6.5	0.8	0.1	6.29e-22	0.1	0.95		238.685		7836.17	0.0					1108.0	0.002	6760.0	20400.0		828.419	0.95051	0.19018	14.4825
Leontopithecus rosalia	34fc90bc0247a67e5691c7c947624599		6.5	0.8	0.05	1.67447e-29	0.1	0.95		32.3828		7817.2	0.0					249069.0	0.002	1384700.0	5263170.0		455.848	0.545626	0.119905	112.574
Lepadogaster lepadogaster	e51f4ae6bb47355df4b30132303ea92b		6.5	0.8	0.0001	5.237e-09	0.1	0.95		48.84		5218.0	0.0					0.6346	0.002		360.6		84.091	0.9589	0.04848	
Lepidochelys kempii	54e9e281f6d060b3f03a3d1295107826		6.5	0.8	0.0001	1.421e-09	0.1	0.95		20.17		7841.0	0.0					13240.0	0.002		36480000.0		728.321	0.6929	0.04241	
Lepidochitona cinerea	75dec12407157ff88b7093da4cd037b8		6.5	0.87759	0.0001	7.159e-07	0.0012322	0.95		69.8482		2610.55	0.0			8.429e-06		6.32e-06	0.002		0.3248		116.284	0.99843	0.029375	
Lepilemur mustelinus	e8bfdcc70cea2d77b9b54a143392afc8		6.5	0.8	0.05	1.384e-24	0.1	0.95		63.69		7850.0	0.0					18600.0	0.002	303900.0	1643000.0		555.273	0.8973	0.1788	124.6
Lepisma saccharina	a5b311bccb146809dd1359c610f67f41		6.5	0.8	0.0001	2.423e-07	0.1	0.95		113.8		4422.0	0.0			0.6276		0.1024	0.002		2.814		21.0017	0.8854	0.003825	
Lepomis cyanellus	cc83144368365e74204374b9f7db5de9		6.5	0.8	0.0001	2.41363e-09	0.1	0.95		17.2		5223.68	0.0			0.0120521		0.0120521	0.002		229.662		148.152	0.991106	0.0620576	
Leptodora kindtii	d8f23f51d85cb363bede2f3632517e87		6.5	0.8	0.0001	8.23536e-06	0.1	0.95		43.4573		812.1	0.0					0.000322818	0.002		0.00169181		15.264	0.985216	0.103793	
Leptosomus discolor	fb7bb155923268f8cec398b5e34a27b5		6.5	0.8	0.01	5.666e-21	0.1	0.95		25.7113		7310.14	0.0					150.3	0.0019573		1847.0		156.005	0.99259	0.21971	
Lepus europaeus	2c10e1e11456722cf2f9741fec368a71		6.5	0.8	0.1	6.3524e-16	0.1	0.95		321.457		7631.1	0.0					32256.1	0.002	210953.0	5802300.0		3143.09	0.9251	0.10096	24.6633
Leucoraja erinacea	2b6c3cc7234a53cc6229a9883c9075af		6.5	0.8	0.0001	2.261e-07	0.1	0.95		29.24		5222.0	0.0					5871.0	0.002		1222000.0		349.015	0.6084	0.05341	
Limnodromus griseus	e45c6cab6f6609688ad3f1f3fcd1ff3f		6.5	0.8	0.01	5.517e-38	0.1	0.95		193.015		7303.12	0.0					666.3	0.002		10100.0		885.183	0.99174	0.81672	
Limosa haemastica	33c1fb3078fbaabe8a5b2112bece7d67		6.5	0.8	0.01	1.615e-40	0.1	0.95		217.994		7315.84	0.0					4507.0	0.002		863200.0		1397.46	0.96304	0.45902	
Lissotriton vulgaris	8eb8ecd651629c0276ce18bb308d38e8		6.5	0.8	0.0001	5.735e-09	0.1	0.95		83.79		7310.0	0.0					0.1505	0.002		186.5		104.715	0.9386	0.0223	
Locusta migratoria	9e147038cfb1f0aa33bcd94248a2d984		6.5	0.8	0.0001	0.00396616	0.1	0.95		18.0019		4445.68	0.0					10.4443	0.002		700.815		830.816	0.796925	0.0245902	
Lophius piscatorius	8fd2675f789a62f4c680eef9c95d494f		6.5	0.8	0.0001	3.264e-08	0.1	0.95		20.48		5226.0	0.0			160.2		5.554	0.002		3248000.0		281.162	0.6316	0.04243	
Lophophanes cristatus	cd1512991114f0bcfd9c50282ed817d7		6.5	0.8	0.01	1.428e-22	0.1	0.95		1162.18		7317.55	0.0					212.1	0.002		87000.0		1963.4	0.95921	0.1146	
Loris tardigradus	ef762a80ccc68823da1b199ae0301698		6.5	0.8	0.05	1.65761e-26	0.1	0.95		70.5805		7840.73	0.0					5520.08	0.002	155748.0	380817.0		419.544	0.927078	0.163619	156.293
Loxodonta africana	7b498777d8b86d615d26fb2555362a5d		6.5	0.01	0.1	9.99534e-13	0.9	0.95		15.6942		7844.72	0.0					23292400.0	0.002	118343000.0	534848000.0		1401.5	0.842131	0.0289339	54.7268
Lymnaea stagnalis	ea77dedfde3d3bd9b1d45805c6cde119		6.5	0.8	0.0001	1.287e-05	0.1	0.475		58.57		3900.0	0.0			50.1		0.285	0.002		496.6		25.2049	0.6876	0.01394	
Macaca mulatta	8302d6488dd331326b175296ccfbab12		6.5	0.8	0.05	1.52444e-15	0.1	0.95		8.79762		7894.4	0.0					641736.0	0.002	1496350.0	4680470.0		195.175	0.797138	0.0701268	99.4585
Macoma balthica	7752e8e469ee3f69471f23a73bb94786		6.5	0.8	0.0001	7.105e-09	0.1	0.95		136.5		2350.0	0.0			0.005257		3.769e-06	0.002		0.7695		11.9834	0.9951	0.01374	
Macrobiotus hufelandii	cdf5e8f2aaf144fd5170f295c272c445		6.5	0.8	0.0001	1.785e-07	0.1	0.95		28.79		1822.0	0.0			0.0001071		7.731e-05	0.002		0.0002036		1.01161	0.8942	0.001032	
Macropus agilis	836cb084ad966ce1b076f68c8ee96cde		6.5	0.371	0.1	4.66763e-12	0.3474	0.95		27.4791		7838.82	0.0					254.158	0.00199263	1253120.0	1896480.0		542.966	0.859712	0.0333316	19.266
Macropus antilopinus	a3ad146035807271d4c927c78c191a41		6.5	0.8	0.1	2.22265e-11	0.1	0.95		31.0783		7828.7	0.0					471.627	0.00189611	8325600.0	14734100.0		717.211	0.807015	0.054894	29.2
Macropus eugenii	3122737d84947ba114ffb6f396b21872		6.5	0.371	0.1	4.4406e-20	0.3474	0.95		48.1501		7889.25	0.0					217.29	0.00231557	1877930.0	3461200.0		716.684	0.88832	0.129512	25.442
Macropus fuliginosus	c71786cbfbff0f76624c73efcca4cdf1		6.5	0.371	0.1	3.12348e-13	0.3474	0.95		28.0858		7833.27	0.0					492.602	0.00201805	5192530.0	15663600.0		768.921	0.799906	0.0461396	30.3
Macropus giganteus	9e81e89d48f74c749a1895f37ed33f1b		6.5	0.371	0.1	5.47504e-15	0.3474	0.95		24.4565		7847.36	0.0					877.377	0.002	8125660.0	23815300.0		747.779	0.7596	0.067345	30.2286
Macropus parma	562a352c8d1a274b7d6167186f2afc49		6.5	0.371	0.1	8.55871e-12	0.3474	0.95		71.3328		7816.51	0.0					151.407	0.002	1539870.0	2544800.0		792.204	0.865651	0.0349875	22.8656
Macropus rufogriseus	6adcb8c69536b16f12dbd411354abec2		6.5	0.371	0.1	1.86e-11	0.3474	0.95		27.92		7950.0	0.0					398.9	0.002	4899000.0	7225000.0		603.788	0.8083	0.05401	20.6
Macropus rufus	3029b1dda9dc6bbc86de28d511e30b9c		6.5	0.371	0.1	6.379e-17	0.3474	0.95		22.42		7163.0	0.0					591.6	0.002	4028000.0	13770000.0		694.92	0.8327	0.09691	28.5
Macroscelides proboscideus	a7c9d1f954a2b7ad2ab9a93e86028ced		6.5	0.8	0.01	1.33821e-20	0.1	0.95		280.212		7830.26	0.0					3830.48	0.002	28947.5	71939.5		984.179	0.933602	0.751403	58.6646
Magellania fragilis	397256b281a713c08dd827ce925a4418		6.5	0.8	0.0001	7.68076e-10	0.1	0.95		1.85423		1831.39	0.0					0.00109668	0.002		49.7539		3.614	0.811989	0.0104448	
Maiasaura peeblesorum	a8a49429384c6e0baa7d523cfa760e16		6.5	0.8	0.5	4.384e-17	0.1	0.95		21.8		7826.0	0.0					3763.0	0.002		28010000.0		2331.26	0.9959	0.1935	
Makaira nigricans	930ec996aa327e096938cdd7627300d6		6.5	0.8	0.0001	2.675e-10	0.1	0.95		16.39		5232.0	0.0			2.157		0.005604	0.002		824500.0		142.067	0.9909	0.01192	
Mallotus villosus	6de343f6ed58029def4a6735f32b7771		6.5	0.8	0.0001	6.935e-07	0.1	0.95		20.27		5227.0	0.0					0.02919	0.002		1732.0		88.7848	0.8808	0.04041	
Mamenchisaurus spec	09080b2ff70ef25106845e16faaaeba6		6.5	0.8	0.5	2.165e-15	0.1	0.95		18.04		7845.0	0.0					510900.0	0.002		971200000.0		2382.07	0.8997	0.02004	
Manduca sexta	ed22ff1ba0332e482333ac955e210c42		6.5	0.2	1.0	146.2	0.5	0.95	2.161e-28	32.49		4414.0	0.0	0.999			7496.0	0.01474	0.002				4820.61	0.6665	0.007998	
Manis crassicaudata	c6f6a1d7ab301db524adf1c7d6330fe3		6.5	0.8	0.1	1.07784e-12	0.1	0.95		21.7754		7840.3	0.0					60098.9	0.002	164332.0	1455760.0		431.692	0.963294	0.0752581	0.0
Manta birostris	a8df6db60161ecbce7691570e5ce3b33		6.5	0.8	0.0001	4.881e-10	0.1	0.95		15.21		5237.0	0.0					424500.0	0.002		23570000.0		1229.47	0.9746	0.1135	
Marmota flaviventris	5032fb08abb378e862f86ede07e0bd88		6.5	0.8	0.1	2.933e-22	0.1	0.97		636.335		7840.59	0.0					17820.0	0.002	653800.0	35190000.0		5814.09	0.70403	0.064409	15.4021
Mastacembelus erythrotaenia	9f4397e88523d3980ca643eb8822e6fc		6.5	0.8	0.0001	5.88e-09	0.1	0.95		21.44		5226.0	0.0					0.001016	0.002		308.4		264.032	0.9996	0.02089	
Megalops atlanticus	17dc53c92491078c7b4c95be788a6908		6.5	0.8	0.0001	4.508e-10	0.1	0.95		17.61	0.05	5236.0	0.0		22.5			0.0002352	0.002		84550.0	1.296	406.038	0.978	0.006734	
Meganyctiphanes norvegica	5f895dc8e3d3fb0271a3c2069716b463		6.5	0.3281	0.0001	2.287e-06	0.5	0.95		152.5		4400.0	0.0					0.01678	0.002		39.2		154.44	0.8645	0.06913	
Melanitta perspicillata	f9894443879efbdfd2b1b84dddc7b32a		6.5	0.8	0.1	7.616e-85	0.1	0.95		192.839		7335.99	0.0					20020.0	0.002		5361000.0		1816.13	0.91435	0.54793	
Meles meles	423f1dbd6d3e388a3382399597913189		6.5	0.8	0.1	1.339e-20	0.1	0.97		52.11		7850.0	0.0					2998.0	0.002	108000.0	988300.0		1018.87	0.9917	0.1851	36.11
Melopsittacus undulatus	f683faf1a057f5da3a1c30c0bbaf51fd		6.5	0.8	0.01	1.33e-46	0.1	0.95		404.49		7319.37	0.0					62.49	0.002		13080.0		1382.26	0.99377	0.49446	
Mergus merganser	300aa73946e7a9245786477c91a74509		6.5	0.8	0.01	7.461e-13	0.1	0.95		417.601		7310.38	0.0					44010.0	0.002		21380000.0		3797.24	0.57265	0.062488	
Mergus serrator	cbe66f861f86562456b2d7e1ef5de373		6.5	0.8	0.01	2.241e-15	0.1	0.95		481.592		7307.63	0.0					50340.0	0.002		24040000.0		4315.73	0.58665	0.10231	
Merlangius merlangus	ab575c19c518950c34e2773154585474		6.5	0.8	0.0001	8.563e-09	0.1	0.95		49.8		5230.0	0.0			51.94		0.4575	0.002		103800.0		261.044	0.5458	0.05281	
Mesitornis variegatus	a990bffed92b9b55d3f6cfb8572597e8		6.5	0.8	0.1	7.507e-23	0.1	0.95		27.0498		7303.0	0.0					380.4	0.002		1343.0		119.162	0.98568	0.041316	
Mesocyclops leukarti	eb76a8aa998d1b3614cbeef939cbe8a5		6.5	0.8	0.0001	4.109e-05	0.1	0.95		1400.0		4400.0	0.0					7.041e-06	0.002		0.0006173		17.6044	0.9893	0.00703	
Microcebus murinus	fed2451960a842ce940ad5d48d81d81c		6.5	0.8	0.05	2.279e-31	0.1	0.95		44.08		7850.0	0.0					43190.0	0.002	128300.0	985900.0		332.883	0.4971	0.2695	56.8
Microtus cabrerae	f79ac11999508ad757439910090b87b0		6.5	0.8	0.1	3.939e-23	0.1	0.95		475.628		7845.75	0.0					490.378	0.002	7173.93	22385.2		1414.62	0.9694	0.14537	18.5349
Milnesium tardigradum	063fd91ca8ab9f5dd77628fc62aa3df3		6.5	0.8	0.0001	3.425e-08	0.1	0.95		40.13		1806.0	0.0			7.921e-05		5.881e-05	0.002		0.0003561		1.42665	0.9305	0.005628	
Mirounga leonina	7a1805d7e2224550b70452e4ab73e14a		6.5	0.8	0.1	2.624e-12	0.1	0.95		9.68		7779.0	0.0					76360000.0	0.002	78940000.0	262400000.0		820.633	0.6076	0.06231	0.1
Mnemiopsis leidyi	1c0c292c0300677f3bce686e31495b3e		18.0	0.8	0.0001	9.63e-07	0.1	0.475		109.2		78.56	0.0			5.419		0.0001685	0.002		37.03	0.864	148.625	0.3911	0.03153	
Mola mola	ad52cc37a5ce66e98b9ba0195b9d8cb7		6.5	0.8	0.0001	6.114e-11	0.1	0.95		20.43		5226.0	0.0					1.275	0.002		434000000.0		2716.43	0.7912	0.5959	
Moniliformis dubius	2db31682f5ec69386b23ea4212b709b1		6.5	0.8	0.0001	5.097e-07	0.1	0.95		60.04		1817.0	0.0					1.774	0.002		73.25		72.8888	0.8855	0.03228	
Monodon monoceros	ac12a283ac3c3ecb7c86d02da8dfaacc		6.5	0.8	0.1	1.278e-15	0.1	0.95		17.5301		7860.49	0.0					54880000.0	0.002	165700000.0	466700000.0		1355.26	0.68159	0.039531	3.9317e-09
Motacilla flava	eca91fcd14896fe760fc1c8eef9774bf		6.5	0.8	0.01	3.347e-22	0.1	0.95		2845.78		7323.06	0.0					29.93	0.002		39960.0		4539.96	0.99133	0.19597	
Mus musculus	5f6ab51900f4bd06a67e6edf454d72dc		6.5	0.8	0.1	4e-11	0.1	0.95		28.58		7827.0	0.0					3142.0	0.002	6230.0	10914.0		130.808	0.754	0.0915	10.3
Mya arenaria	b8018df2338b52a3f82bb35f20327198		6.5	0.8	0.0001	6.91815e-10	0.1	0.95		8.36435		2365.64	0.0			16.4053		0.00283816	0.002		181.471		3.21562	0.809556	0.06593	
Myoxocephalus scorpius	ea0a01317e2536d0439b2698488001d6		6.5	0.8	0.0001	2.937e-08	0.1	0.95		6.723		5216.0	0.0			533.9		7.947	0.00226		100100.0		206.685	0.3109	0.01447	
Myrmecophaga tridactyla	99e9905aadb48ff76d1717ea7020ecb7		6.5	0.8	0.1	4.03733e-16	0.1	0.95		14.3065		7857.28	0.0					2051300.0	0.002	2817600.0	22660100.0		470.886	0.798962	0.12166	105.707
Mysis mixta	75d47759bf7d4d79eaa4107c2c0423c0		6.5	0.8	0.0001	2.166e-05	0.1	0.95		400.0		4400.0	0.0			15.88		3.404	0.002		47.41		114.206	0.6483	0.01409	
Mytilaster minimus	bf5b0501c3db505732b751a445a2396d		6.5	0.7	0.0001	1.011e-10	0.1	0.95		19.28		2348.0	0.0			0.3704		0.0001281	0.002		2.401		1.2726	0.8678	0.04576	
Mytilus californianus	073e0f457f10e18f5ea034cfe0c48c20		6.5	0.7	0.0001	2.06242e-09	0.1	0.95		5.00936		2348.0	0.0			8.18592e-06		6.30227e-07	0.002		5.86071		9.3412	0.991189	0.0162408	
Mytilus edulis	fd90faaa60b00c787b864db5935122a0		105.6	0.9485	0.0001	4.698e-09	0.0493	0.95		2.039		2348.0	0.0			4.345e-07		4.287e-07	0.002		0.7263		9.8619	0.9947	0.05004	
Mytilus galloprovincialis	04790e322405f377d0e822187e2d7404		6.5	0.7	0.0001	2.94259e-09	0.1	0.95		8.98252		2348.0	0.0			1.61951e-05		6.27069e-07	0.002		19.2838		7.98093	0.987065	0.0077519	
Mytilus trossulus	b22222da5f4fd8e0e68afc05d8705c9b		6.5	0.7	0.0001	2.033e-07	0.1	0.95		29.83		2348.0	0.0			0.001325		0.0001909	0.002		2152.0		47.8622	0.8981	0.02524	
Myxine glutinosa	479e73c761b0b5e206c1fbcd072a884b		6.5	0.8	0.0001	3.345e-08	0.1	0.95		80.34		4418.0	0.0					730.5	0.002		65370.0		478.869	0.76	0.09756	
Nasalis larvatus	627feeca55633fa8364d77479cf765a8		6.5	0.8	0.05	6.55529e-16	0.1	0.95		8.91801		7862.8	0.0					625573.0	0.002	1785730.0	7704550.0		232.329	0.832991	0.148577	134.885
Natrix natrix	27ec70b00734b68213ff0972f7360650		6.5	0.8	0.0001	4.833e-09	0.1	0.95		25.58		7834.0	0.0					6942.0	0.002		342200.0		291.142	0.5935	0.02665	
Neoceratodus forsteri	f3f583180b1b6979f36e97c7c6a5a23c		6.5	0.8	0.0001	2.107e-10	0.1	0.95		13.04		5731.0	0.0					0.01805	0.002		38780.0		277.461	0.9987	0.0173	
Notopterus notopterus	4fcb49f6bfd5870b3cfababf5e802016		6.5	0.8	0.0001	1.224e-09	0.1	0.95		18.49		5200.0	0.0					0.2648	0.002		1454.0		167.976	0.9942	0.0192	
Numenius phaeopus	19bd674744e8fd0eda79a3b09a47568d		6.5	0.8	0.01	2.215e-41	0.1	0.95		185.32		7330.86	0.0					10280.0	0.002		1309000.0		1309.67	0.94961	0.74347	
Nycticebus coucang	3cbe6f36284dc50c72e4dd60e01eade9		6.5	0.8	0.05	2.06661e-30	0.1	0.95		33.4006		7805.16	0.0					15865.9	0.002	251692.0	584285.0		330.112	0.949912	0.231466	175.984
Octolasion cyaneum	c39d48b8d317b85403b3500a610f0be7		6.5	0.8	0.0001	3.071e-09	0.1	0.95		959.2		4218.0	0.0					0.7336	0.002		287.6		754.502	0.9817	0.031	
Octopus cyanea	8e622e1b7f9777d3f33c42f52836d21a		6.5	0.8	1.0	4.018e-05	0.1	0.95		21.14		5461.0	0.0			543.3		0.08724	0.002		103400.0		150.131	0.6497	0.003128	
Octopus maya	01fe079c62706c970beb455711158713		6.5	0.8	1.0	0.000446	0.1	0.95		19.0		5478.0	0.0			349.9		0.2532	0.001		30500.0		596.108	0.7452	0.003347	
Octopus vulgaris	68dbab9ebc28639002befc34e2ffe516		6.5	0.8	1.0	0.0008267	0.1	0.95		18.65		5510.0	0.0			12.67		1.2e-05	0.002		1206.0		54.1584	0.9983	0.00182	
Odobenus rosmarus rosmarus	e0b6f3f450ac4d0393778f97dbccdb75		6.5	0.8	0.1	7.667e-12	0.1	0.95		19.4786		7846.98	0.0					16300000.0	0.002	63340000.0	153700000.0		1168.9	0.82676	0.030411	8.1342e-11
Odocoileus virginianus	49c19661f2a48ff49d60d571f9f827ca		6.5	0.5	0.3	5.66103e-23	0.32	0.95		54.3854		7884.18	0.0					1808450.0	0.002	17556600.0	41094700.0		1764.2	0.8993	0.119087	48.8761
Odontaster validus	9da6a4806559abb475558069f7086367		6.5	0.8	0.0001	9.003e-09	0.1	0.95		12.59		2348.0	0.0			0.4017		0.003334	0.002		1149.0		12.2517	0.815	0.008859	
Oikopleura dioica	a0baaf22d884c493e15b87b9e7df0393		496.0	0.8	5.0	5.163e-10	0.1	0.95		1300.0		1374.0	0.0					0.0005993	0.001		0.0005994		266.5	0.2	0.042	
Oikopleura longicauda	96345fc075fb3f226692bc86808fced3		496.0	0.8	5.0	5.163e-10	0.1	0.95		1300.0		1374.0	0.0					0.0005993	0.001		0.0005994		266.5	0.2	0.042	
Oligoneuriella rhenana	98265cc9272cbad448432d8f8db5f757	12839.5	6.5	0.8	1.0	278.996	0.1	0.95		18.1042		4400.0	0.0					0.0015275	0.002		0.0112901		17.2188	0.53299	0.000964016	
Oncorhynchus mykiss	d11b35db644cc45d76ccd8ad31452045		6.5	0.8	10.0	3.195e-47	0.1	0.95		133.8		5025.0	0.0			421.0		52.95	0.001991		1708000.0		1399.93	0.6935	0.0379	
Oncorhynchus tshawytscha	566c1a149d7757a7b5ba252a5186fbbf		6.5	0.8	10.0	8.321e-21	0.1	0.95		20.56		5242.0	0.0			71470.0		1389.0	0.001396		4768000.0		411.111	0.4612	0.07753	
Onychogalea fraenata	38206e3877fe578667a6fa6a3996e930		6.5	0.371	0.1	8.482e-14	0.3474	0.95		117.8		7837.0	0.0					37.38	0.002	860600.0	1110000.0		1304.25	0.9583	0.09631	20.15
Opisthocomus hoazin	ad3bcef887f4c268792c37f0d373faff		6.5	0.8	0.05	1.35e-31	0.1	0.95		391.428		7338.63	0.0					216.0	0.0019767		2672.0		2079.02	0.99654	0.079277	
Opsanus tau	eabf208a108044b4e9b995e267e3cbed		6.5	0.8	0.0001	1.718e-07	0.1	0.95		16.97		5230.0	0.0					105.5	0.002		504900.0		308.135	0.4961	0.0346	
Orcinus orca	0d0c95b9ba62095a56695f520e3a09ce		6.5	0.8	0.1	5.4e-14	0.1	0.95		24.074		7831.72	0.0					43700000.0	0.002	143800000.0	767900000.0		1919.71	0.75973	0.037713	0.0
Ornithorhynchus anatinus	3bc186304963c8d2e15564c630a7021e		6.5	0.8	0.1	1.52457e-21	0.1	0.95		222.131		7828.98	0.0					1.70301	0.00218072		98083.2		1988.57	0.998609	0.121075	
Orycteropus afer	fa01640674c52e1bc9664c729beebce7		6.5	0.8	0.1	1.67241e-13	0.1	0.959		33.8252		7831.34	0.0					251130.0	0.002	907165.0	7647270.0		963.881	0.959542	0.0692771	121.779
Oryctolagus cuniculus	0488cb00ad3e3545c4c28f8feaf747e0		6.5	0.8	0.1	8.856e-13	0.1	0.95		141.551		7843.17	0.0					71724.1	0.002	511549.0	41124200.0		2546.62	0.43063	0.044457	8.1682
Osmerus mordax	a3b21f18440ced89a25d39ddfedd990a		6.5	0.8	0.0001	1.434e-06	0.1	0.95		27.52		5212.0	0.0					0.009804	0.002		2106.0		141.289	0.9511	0.0262	
Osteoglossum bicirrhosum	72895daedd532e7e22d3cefc27328304		6.5	0.8	0.0001	2.227e-10	0.1	0.95		21.0		5200.0	0.0					10.37	0.002		59940.0		329.428	0.9868	0.03717	
Ostrea edulis	3063d7e4904e854f23e2d5ac9861a140		12.0	0.8	0.0001	1.152e-07	0.1	0.95		28.88		2374.0	0.0			0.003699		0.0004649	0.002		525.6		26.3138	0.6471	0.005086	
Ovibos moschatus	e4475739e4b72bc21e5596c1e24de11e		6.5	0.8	0.3	6.497e-27	0.1	0.95		16.8568		7846.23	0.0					11560000.0	0.002	37250000.0	179000000.0		1003.24	0.82338	0.16176	20.9987
Pagellus erythrinus	cf65e6afffa559b72e5b5b8afebdae91		6.5	0.8	0.0001	1.914e-09	0.1	0.95		17.09		5231.0	0.0			24.03		0.02744	0.002		11460.0		26.2038	0.9659	0.05087	
Pagphilus groenlandicus	ed5280adb77539a0b58955aa822a70e7		6.5	0.8	0.1	1.946e-12	0.1	0.95		12.2023		7857.33	0.0					33910000.0	0.002	35630000.0	416300000.0		1491.18	0.23233	0.035059	120.0
Palaemonetes pugio	56cf1eeaf3d2f8441b8c41906c4c1ab1		6.5	0.8	0.0001	1.065e-06	0.1	0.95		326.6		4444.0	0.0			0.06634		0.003539	0.002		1.237		98.7571	0.9918	0.01903	
Pangasianodon hypophthalmus	53d4229bacedae1311051e7cddd073d4		6.5	0.8	0.0001	2.994e-10	0.1	0.95		11.24		5283.0	0.0					1.263	0.002		6908000.0		524.727	0.5805	0.1126	
Panthera leo	c67c449dc0cc8bf14732d7fabf8f2b10		6.5	0.8	0.1	4.44482e-15	0.1	0.95		18.0812		7861.65	0.0					168805.0	0.002	1527260.0	17202300.0		782.495	0.96682	0.110107	60.6976
