Name	CoL ID	p_M (J/d.cm^3)	F_m (l/d.cm^2)	h_a (1/d^2)	p_Am (J/d.cm^2)	k_J (1/d)	kap_X (-)	kap (-)	E_G (J/cm^3)	E_Hb (J)	s_G (-)	v (cm/d)	kap_P (-)	kap_R (-)	E_Hp (J)	p_T (J/d.cm^2)
Larus argentatus	6d0b384ca6c3c1ec2eb97706da11eae8	360.355	6.5	2.471e-43	2937.92	0.002	0.8	0.98574	7329.53	3809.0	0.01	0.43436	0.1	0.95	1113000.0	0.0
Latimeria chalumnae	46ffe2e071c4d553d33e36794a179846	19.0595	6.5	2.50386e-09	716.317	0.002	0.8	0.725277	5229.38	125605.0	0.0001	0.0478276	0.1	0.95	27455400.0	0.0
Lepadogaster lepadogaster	e51f4ae6bb47355df4b30132303ea92b	48.84	6.5	5.237e-09	84.091	0.002	0.8	0.9589	5218.0	0.6346	0.0001	0.04848	0.1	0.95	360.6	0.0
Lepidochelys kempii	54e9e281f6d060b3f03a3d1295107826	20.17	6.5	1.421e-09	728.321	0.002	0.8	0.6929	7841.0	13240.0	0.0001	0.04241	0.1	0.95	36480000.0	0.0
Leptodora kindtii	d8f23f51d85cb363bede2f3632517e87	43.4573	6.5	8.23536e-06	15.264	0.002	0.8	0.985216	812.1	0.000322818	0.0001	0.103793	0.1	0.95	0.00169181	0.0
Leptosomus discolor	fb7bb155923268f8cec398b5e34a27b5	25.7113	6.5	5.666e-21	156.005	0.0019573	0.8	0.99259	7310.14	150.3	0.01	0.21971	0.1	0.95	1847.0	0.0
Leucoraja erinacea	2b6c3cc7234a53cc6229a9883c9075af	29.24	6.5	2.261e-07	349.015	0.002	0.8	0.6084	5222.0	5871.0	0.0001	0.05341	0.1	0.95	1222000.0	0.0
Limnodromus griseus	e45c6cab6f6609688ad3f1f3fcd1ff3f	193.015	6.5	5.517e-38	885.183	0.002	0.8	0.99174	7303.12	666.3	0.01	0.81672	0.1	0.95	10100.0	0.0
Limosa haemastica	33c1fb3078fbaabe8a5b2112bece7d67	217.994	6.5	1.615e-40	1397.46	0.002	0.8	0.96304	7315.84	4507.0	0.01	0.45902	0.1	0.95	863200.0	0.0
Lissotriton vulgaris	8eb8ecd651629c0276ce18bb308d38e8	83.79	6.5	5.735e-09	104.715	0.002	0.8	0.9386	7310.0	0.1505	0.0001	0.0223	0.1	0.95	186.5	0.0
Lophophanes cristatus	cd1512991114f0bcfd9c50282ed817d7	1162.18	6.5	1.428e-22	1963.4	0.002	0.8	0.95921	7317.55	212.1	0.01	0.1146	0.1	0.95	87000.0	0.0
Magellania fragilis	397256b281a713c08dd827ce925a4418	1.85423	6.5	7.68076e-10	3.614	0.002	0.8	0.811989	1831.39	0.00109668	0.0001	0.0104448	0.1	0.95	49.7539	0.0
Maiasaura peeblesorum	a8a49429384c6e0baa7d523cfa760e16	21.8	6.5	4.384e-17	2331.26	0.002	0.8	0.9959	7826.0	3763.0	0.5	0.1935	0.1	0.95	28010000.0	0.0
Mallotus villosus	6de343f6ed58029def4a6735f32b7771	20.27	6.5	6.935e-07	88.7848	0.002	0.8	0.8808	5227.0	0.02919	0.0001	0.04041	0.1	0.95	1732.0	0.0
Mamenchisaurus spec	09080b2ff70ef25106845e16faaaeba6	18.04	6.5	2.165e-15	2382.07	0.002	0.8	0.8997	7845.0	510900.0	0.5	0.02004	0.1	0.95	971200000.0	0.0
Manta birostris	a8df6db60161ecbce7691570e5ce3b33	15.21	6.5	4.881e-10	1229.47	0.002	0.8	0.9746	5237.0	424500.0	0.0001	0.1135	0.1	0.95	23570000.0	0.0
Mastacembelus erythrotaenia	9f4397e88523d3980ca643eb8822e6fc	21.44	6.5	5.88e-09	264.032	0.002	0.8	0.9996	5226.0	0.001016	0.0001	0.02089	0.1	0.95	308.4	0.0
Meganyctiphanes norvegica	5f895dc8e3d3fb0271a3c2069716b463	152.5	6.5	2.287e-06	154.44	0.002	0.3281	0.8645	4400.0	0.01678	0.0001	0.06913	0.5	0.95	39.2	0.0
Melanitta perspicillata	f9894443879efbdfd2b1b84dddc7b32a	192.839	6.5	7.616e-85	1816.13	0.002	0.8	0.91435	7335.99	20020.0	0.1	0.54793	0.1	0.95	5361000.0	0.0
Melopsittacus undulatus	f683faf1a057f5da3a1c30c0bbaf51fd	404.49	6.5	1.33e-46	1382.26	0.002	0.8	0.99377	7319.37	62.49	0.01	0.49446	0.1	0.95	13080.0	0.0
Mergus merganser	dd005d87ee7a39a731b69942401091df	417.601	6.5	7.461e-13	3797.24	0.002	0.8	0.57265	7310.38	44010.0	0.01	0.062488	0.1	0.95	21380000.0	0.0
Mergus serrator	b1285f6800c3631e6fbcb7793b07ad46	481.592	6.5	2.241e-15	4315.73	0.002	0.8	0.58665	7307.63	50340.0	0.01	0.10231	0.1	0.95	24040000.0	0.0
Mesitornis variegatus	a990bffed92b9b55d3f6cfb8572597e8	27.0498	6.5	7.507e-23	119.162	0.002	0.8	0.98568	7303.0	380.4	0.1	0.041316	0.1	0.95	1343.0	0.0
Mola mola	ad52cc37a5ce66e98b9ba0195b9d8cb7	20.43	6.5	6.114e-11	2716.43	0.002	0.8	0.7912	5226.0	1.275	0.0001	0.5959	0.1	0.95	434000000.0	0.0
Moniliformis dubius	2db31682f5ec69386b23ea4212b709b1	60.04	6.5	5.097e-07	72.8888	0.002	0.8	0.8855	1817.0	1.774	0.0001	0.03228	0.1	0.95	73.25	0.0
Motacilla flava	eca91fcd14896fe760fc1c8eef9774bf	2845.78	6.5	3.347e-22	4539.96	0.002	0.8	0.99133	7323.06	29.93	0.01	0.19597	0.1	0.95	39960.0	0.0
Myxine glutinosa	479e73c761b0b5e206c1fbcd072a884b	80.34	6.5	3.345e-08	478.869	0.002	0.8	0.76	4418.0	730.5	0.0001	0.09756	0.1	0.95	65370.0	0.0
Natrix natrix	27ec70b00734b68213ff0972f7360650	25.58	6.5	4.833e-09	291.142	0.002	0.8	0.5935	7834.0	6942.0	0.0001	0.02665	0.1	0.95	342200.0	0.0
Neoceratodus forsteri	f3f583180b1b6979f36e97c7c6a5a23c	13.04	6.5	2.107e-10	277.461	0.002	0.8	0.9987	5731.0	0.01805	0.0001	0.0173	0.1	0.95	38780.0	0.0
Notopterus notopterus	4fcb49f6bfd5870b3cfababf5e802016	18.49	6.5	1.224e-09	167.976	0.002	0.8	0.9942	5200.0	0.2648	0.0001	0.0192	0.1	0.95	1454.0	0.0
Numenius phaeopus	19bd674744e8fd0eda79a3b09a47568d	185.32	6.5	2.215e-41	1309.67	0.002	0.8	0.94961	7330.86	10280.0	0.01	0.74347	0.1	0.95	1309000.0	0.0
Octolasion cyaneum	c39d48b8d317b85403b3500a610f0be7	959.2	6.5	3.071e-09	754.502	0.002	0.8	0.9817	4218.0	0.7336	0.0001	0.031	0.1	0.95	287.6	0.0
Oikopleura dioica	a0baaf22d884c493e15b87b9e7df0393	1300.0	496.0	5.163e-10	266.5	0.001	0.8	0.2	1374.0	0.0005993	5.0	0.042	0.1	0.95	0.0005994	0.0
Oikopleura longicauda	96345fc075fb3f226692bc86808fced3	1300.0	496.0	5.163e-10	266.5	0.001	0.8	0.2	1374.0	0.0005993	5.0	0.042	0.1	0.95	0.0005994	0.0
Opisthocomus hoazin	ad3bcef887f4c268792c37f0d373faff	391.428	6.5	1.35e-31	2079.02	0.0019767	0.8	0.99654	7338.63	216.0	0.05	0.079277	0.1	0.95	2672.0	0.0
Opsanus tau	eabf208a108044b4e9b995e267e3cbed	16.97	6.5	1.718e-07	308.135	0.002	0.8	0.4961	5230.0	105.5	0.0001	0.0346	0.1	0.95	504900.0	0.0
Ornithorhynchus anatinus	3bc186304963c8d2e15564c630a7021e	222.131	6.5	1.52457e-21	1988.57	0.00218072	0.8	0.998609	7828.98	1.70301	0.1	0.121075	0.1	0.95	98083.2	0.0
Osmerus mordax	a3b21f18440ced89a25d39ddfedd990a	27.52	6.5	1.434e-06	141.289	0.002	0.8	0.9511	5212.0	0.009804	0.0001	0.0262	0.1	0.95	2106.0	0.0
Osteoglossum bicirrhosum	72895daedd532e7e22d3cefc27328304	21.0	6.5	2.227e-10	329.428	0.002	0.8	0.9868	5200.0	10.37	0.0001	0.03717	0.1	0.95	59940.0	0.0
Pangasianodon hypophthalmus	53d4229bacedae1311051e7cddd073d4	11.24	6.5	2.994e-10	524.727	0.002	0.8	0.5805	5283.0	1.263	0.0001	0.1126	0.1	0.95	6908000.0	0.0
Parus atricapillus	aed95c6ec867d5d04bbab05d19687d73	1181.52	6.5	7.877e-22	1943.08	0.002	0.5	0.99534	7338.48	12.93	0.01	0.11844	0.1	0.95	1830.0	0.0
Parus major	9a3033c7cf62b8a01f58d9a946e06126	1006.58	6.5	2.033e-38	2131.37	0.002	0.8	0.9911	7321.54	61.05	0.01	0.33432	0.1	0.95	7653.0	0.0
Passerculus sandwichensis	a40e57e0efe04426fca93156aee1edf4	900.831	6.5	5.666e-17	1840.02	0.002	0.8	0.99565	7320.24	23.79	0.01	0.12481	0.1	0.95	9727.0	0.0
Pelecanus onocrotalus	93042a2bf3d8f48f27fe9b410ac0d62a	138.022	6.5	1.582e-32	2708.16	0.00073263	0.8	0.99787	7281.94	1115.0	0.01	0.86385	0.1	0.95	2145000.0	0.0
Percopsis omiscomaycus	9fb8728f4e0fc8a9cf1ddbfc6fd232d5	16.12	6.5	4.676e-06	81.9435	0.002	0.8	0.7619	5233.0	3.86	0.0001	0.03765	0.1	0.95	2229.0	0.0
Periparus ater	a1536cbd36af848c4cfb9234fad2e1e0	1237.03	6.5	1.126e-22	2178.19	0.002	0.8	0.96171	7317.94	162.1	0.01	0.20111	0.1	0.95	105800.0	0.0
Phaethon lepturus	9c0e9cb143508bda222bd0adec5383db	1244.45	6.5	2.47e-57	4824.41	0.002	0.8	0.99671	7323.79	338.0	0.05	0.11395	0.1	0.95	44670.0	0.0
Phaethon rubricauda	a2644bbf86d31681747084a3cf98311e	966.924	6.5	3.02e-42	4830.7	0.002	0.8	0.99855	7292.74	176.4	0.05	0.10644	0.1	0.95	16760.0	0.0
Phalacrocorax auritus	be5b3b833451887bf9e598f98a2f8292	425.488	6.5	2.608e-22	4170.21	3.4331e-07	0.8	0.99902	7320.1	132.2	0.01	0.45872	0.1	0.95	347100.0	0.0
Philomachus pugnax	7b48212a290510deccad5344b1d61986	698.622	6.5	1.736e-22	2389.23	0.002	0.8	0.96432	7318.86	1517.0	0.01	0.1728	0.1	0.95	400700.0	0.0
Phoeniconaias minor	8b96caa363071f1641f8a492c77d2cb8	27.2382	6.5	6.895e-36	305.554	0.002	0.8	0.94305	7305.57	29640.0	0.05	0.10654	0.1	0.95	812900.0	0.0
Phoronis pallida	3d20b39a5cdcd6ae450a423e58efe977	0.5293	6.5	1.736e-10	0.24406	0.002	0.8	1.0	1828.0	5.272e-16	0.0001	0.001	0.1	0.475	5.43e-07	0.0
Phylloscopus trochilus	9f7d79f2f0a042ef0e8368239dfb1cb3	1003.0	6.5	2.499e-31	1766.54	0.002	0.8	0.99588	7312.72	23.57	0.01	0.27457	0.1	0.95	207.4	0.0
Pica pica	c9dc4e5a0433e0c9f2b65212feba9bef	706.577	6.5	9.5626e-110	3160.93	0.002	0.8	0.993678	7322.01	204.815	0.05	0.387172	0.1	0.95	123648.0	0.0
Pinguinus impennis	caf3fab41ba54462fe586a8bcdcdb54b	415.709	6.5	1.081e-15	4506.51	0.002	0.8	0.59712	7297.95	228800.0	0.01	0.038655	0.1	0.95	37660000.0	0.0
Plateosaurus engelhardti	ae30514b08e4a9102ed0953d4e849809	17.12	6.5	5.408e-11	1125.08	0.002	0.8	0.8952	7846.0	94230.0	0.5	0.01804	0.1	0.95	131300000.0	0.0
Pleuroxus aduncus	4ab9e9fd2808c0e605b8e794b9199627	1682.0	6.5	3.118e-05	45.8591	0.002	0.8	0.7882	4445.0	0.002505	0.0001	0.0218	0.1	0.95	0.01805	0.0
Pleuroxus striatus	6e3bb1d0143dc61387f45820d1f76cee	1491.9	6.5	2.585e-05	53.7936	0.002	0.8	0.8126	4400.0	0.00301	0.0001	0.02666	0.1	0.95	0.03512	0.0
Pluvialis dominica	aa24423d09987a0d571d2e28180b1960	210.419	6.5	5.879e-38	1014.04	0.002	0.8	0.99082	7298.88	1100.0	0.01	0.85783	0.1	0.95	10100.0	0.0
Podargus strigoides	77210dd21b917f4baf425d753ad78f02	2385.74	6.5	2.449e-58	7572.85	0.0019658	0.8	0.99782	7313.1	68.74	0.05	0.085668	0.1	0.95	8778.0	0.0
Podilymbus podiceps	efd1147e3604cc229f2e7dcafb95ca0b	897.012	6.5	2.166e-31	3233.63	0.0023327	0.8	0.98641	7344.64	680.4	0.1	0.057682	0.1	0.95	61660.0	0.0
Poecilia reticulata	1a2112979142994cc7c0ac7710256715	69.11	6.5	5.883e-08	89.9569	0.002	0.8	0.546	5217.0	4.371	0.1	0.009637	0.1	0.95	82.4	0.0
Pomatoschistus minutus	04913a0b4d8937a43ce71ec46207ba90	128.7	6.5	8.868e-06	167.547	0.002	0.8	0.9548	5181.0	0.004883	0.0001	0.01346	0.1	0.95	56.79	0.0
Porcellio scaber	f7f2e3aa63418de280d2441a2f50a353	59.85	6.5	6.742e-09	31.0965	0.002	0.8	0.8634	4286.0	0.314	0.0001	0.08356	0.1	0.95	87.61	0.0
Pristiophorus cirratus	791c66b1d7d17796ec389eefcf0e7cdb	20.53	6.5	2.675e-08	804.088	0.002	0.8	0.8446	5213.0	439600.0	0.0001	0.1329	0.1	0.95	2604000.0	0.0
Pristis pectinata	24e3e2c1f2781f1f13e93e672b190cd1	18.82	6.5	4.779e-09	800.827	0.002	0.8	0.9875	5230.0	882.1	0.0001	0.0502	0.1	0.95	555100.0	0.0
Pseudemydura umbrina	02201b34a72c0285ab6719ce051efc2f	360.4	6.5	4.352e-12	1745.66	0.002	0.8	0.87	8323.0	800.0	0.0001	0.038	0.1	0.95	820000.0	0.0
Pseudophryne bibronii	30e9b7c92c5bc6dc80518b2c9ec2d126	490.7	6.5	4.023e-07	566.956	0.002	0.8	0.6924	7397.0	9.2	0.0001	0.03997	0.1	0.95	32103.0	0.0
Psittacosaurus mongoliensis	53bc6644c4a20fc8606d32a8104206c0	8.884	6.5	1.177e-14	180.348	0.002	0.8	0.9857	7857.0	193.7	0.5	0.01191	0.1	0.95	373700.0	0.0
Pterocles alchata	470ed15824f0e16f12532abcfa8feb54	589.555	6.5	5.246e-14	1769.74	0.002	0.8	0.99273	7321.68	250.3	0.01	0.025733	0.1	0.95	4006.0	0.0
Pterodaustro guinazui	7241febd761e916d77b5d64f223534f0	30.13	6.5	1.145e-13	390.677	0.002	0.8	0.9756	7859.0	1723.0	0.5	0.03409	0.1	0.95	431900.0	0.0
Ptychoramphus aleuticus	1b8b9f4a86353758c7ff85c17a850ab4	504.664	6.5	6.668e-19	2188.2	0.002	0.8	0.95755	7345.87	4329.0	0.01	0.19806	0.1	0.95	764800.0	0.0
Pygoscelis adeliae	1b57a7bf98db087e0a1a8d9757cbf688	147.272	6.5	8.257e-33	2459.23	0.002	0.8	0.98812	7311.26	7255.0	0.01	2.6478	0.1	0.95	3651000.0	0.0
Pygosteus pungitius	43d5e58d4d2708e8963ec274963f607d	18.74	6.5	8.666e-09	31.8777	0.002	0.8	0.95	5200.0	0.7561	0.0001	0.1305	0.1	0.95	178.6	0.0
Python regius	6d0035229236a4c7583a934a4b310b15	46.94	6.5	4.977e-11	572.792	0.001961	0.8	0.908	7500.0	22900.0	0.0001	0.04579	0.1	0.95	313300.0	0.0
Raja brachyura	4c64156100172c31e083a69c131aeaf5	20.9	6.5	3.948e-07	394.969	0.002	0.8	0.7895	5229.0	9795.0	0.0001	0.06448	0.1	0.95	856600.0	0.0
Raja clavata	df126769d6b960693f75babb405ef2ae	28.22	6.5	1.999e-08	821.213	0.002	0.8	0.4213	5225.0	12730.0	0.0001	0.04402	0.1	0.95	10700000.0	0.0
Ramphastos toco	5cf6207f05c77e03bcbcd85733db072f	277.978	6.5	4.027e-20	1961.45	0.0016938	0.8	0.9873	7312.68	933.1	0.01	0.27311	0.1	0.95	611700.0	0.0
Regulus ignicapillus	8480c26fe2dde898a777686976e2e1e4	268.298	6.5	1.524e-30	418.763	0.002	0.8	0.8197	7321.81	638.1	0.01	0.024577	0.1	0.95	59400.0	0.0
Regulus regulus	39de64eea659b04cfd67c5d4ff5633f4	209.556	6.5	5.943e-28	358.162	0.002	0.8	0.84545	7301.86	377.0	0.01	0.039814	0.1	0.95	55510.0	0.0
Remiz pendulinus	3970051da664fb71a70190918d8739e8	1089.0	6.5	3.068e-21	1864.1	0.002	0.8	0.98764	7325.3	58.73	0.01	0.24095	0.1	0.95	15170.0	0.0
Rhea americana	3e67545191136cb33aaaecdd6c3e145a	40.3114	6.5	2.232e-16	987.32	0.002	0.8	0.98577	7328.79	27240.0	0.05	0.20945	0.1	0.95	866200.0	0.0
Rhincodon typus	b757ec97469df0ee764547b0911c66e6	17.11	6.5	1.44e-09	1702.25	0.002	0.8	0.9189	5230.0	13500.0	0.0001	0.01546	0.1	0.95	84050000.0	0.0
Rhinobatos productus	8691a825ec34f8adcda1539f3d0babc0	15.57	6.5	1.845e-08	264.93	0.002	0.8	0.8316	5235.0	15210.0	0.0001	0.06632	0.1	0.95	1169000.0	0.0
Rhizoprionodon acutus	928edb337ff91cfb7708159a9b090050	17.6471	6.5	5.63492e-09	169.412	0.0019936	0.8	0.850224	5230.58	11665.4	0.0001	0.00903634	0.1	0.95	135512.0	0.0
Rhynchotus rufescens	f4c7658ba36fc777a545f8cdc47d11f9	80.4465	6.5	2.317e-20	620.328	0.002	0.8	0.96831	7307.87	6014.0	0.05	0.10987	0.1	0.95	11050.0	0.0
Rhynochetos jubatus	7a9792a8c9f4eb22d6d286d64456516c	502.985	6.5	5.952e-33	2994.18	0.002	0.8	0.94241	7333.78	12200.0	0.05	0.097114	0.1	0.95	2576000.0	0.0
Rissa brevirostris	0edad350886dbea9b1dca16ecfb65c37	239.96	6.5	5.906e-42	1725.41	0.002	0.8	0.97588	7317.0	4880.0	0.01	0.67954	0.1	0.95	929200.0	0.0
Rissa tridactyla	bab5d031b01e7f12e85e1bdcf9726828	245.637	6.5	8.399e-42	1844.35	0.002	0.8	0.9815	7315.62	3559.0	0.01	0.67366	0.1	0.95	834600.0	0.0
Sayornis phoebe	a15591a5779bfc04754d9082dbfc27dd	1125.26	6.5	1.8e-20	2662.72	0.002	0.8	0.79178	7373.57	1477.0	0.01	0.16807	0.1	0.95	946500.0	0.0
Scapholeberis mucronata	986bcd982c77ba4c25548ad2906f3f49	1400.0	6.5	1.174e-05	67.3392	0.002	0.8	0.905	4414.0	0.0005973	0.0001	0.0365	0.1	0.95	0.004884	0.0
Sceloporus undulatus	9152ab6db407dca4866fc5bb234b62a6	100.0	6.5	4.022e-09	325.424	0.002	0.8	0.59	7725.0	1424.0	0.0001	0.027	0.1	0.95	36490.0	0.0
Scyliorhinus canicula	384ae8eb01a30b7118797dd65f7e4915	58.37	6.5	4.745e-08	419.866	0.002	0.8	0.88	5149.0	213.9	0.0001	0.02159	0.1	0.95	24730.0	0.0
Silurus glanis	6c2ea465078c17cbe89597943b9e7ea0	17.23	6.5	1.339e-10	539.353	0.002	0.8	0.8587	5200.0	0.1609	0.0001	0.02316	0.1	0.95	933900.0	0.0
Simocephalus serrulatus	c80b9c7571c8f66720bdd1978b6df130	1800.0	6.5	8.658e-05	114.853	0.002	0.8	0.935	4425.0	0.001233	0.0001	0.04701	0.1	0.95	0.04053	0.0
Somateria mollissima	e999b4ec3f0ee05bcd43a62b67baaf64	605.067	6.5	1.328e-84	4212.46	0.002	0.8	0.91678	7319.09	17620.0	0.1	0.10454	0.1	0.95	6682000.0	0.0
Somniosus microcephalus	31935504b8da5b895f90bcf5c73f221c	15.3	6.5	2.235e-09	684.857	0.002	0.8	0.798	5231.0	171400.0	0.0001	0.004937	0.1	0.95	5688000.0	0.0
Sphenodon punctatus	25b1757fa601bfa9d01e3e9460c93b06	18.02	6.5	1.487e-09	93.4614	0.002	0.8	0.7934	7845.0	2211.0	0.0001	0.00753	0.1	0.95	20420.0	0.0
Sphyrna lewini	350243ccc762d3c4ac03d1b35bd6ff9d	28.49	6.5	1.493e-09	2444.58	0.002	0.8	0.3635	5181.0	3692000.0	0.0001	0.1769	0.1	0.95	274300000.0	0.0
Squalus acanthias	e27b689ea5bd2d30bc3f0e7699a5ceb2	28.0	6.5	1.168e-09	637.144	0.002	0.8	0.6526	5223.0	101400.0	0.0001	0.05303	0.1	0.95	1924000.0	0.0
Squatina californica	68e9753aed082e09ac4d4b4c348e920b	24.23	6.5	7.541e-09	527.166	0.002	0.8	0.9381	5224.0	6366.0	0.0001	0.05442	0.1	0.95	1751000.0	0.0
Stercorarius longicaudus	aa6cf7dcd5ab4cebc01f040ec020da31	600.505	6.5	1.487e-46	3620.45	0.002	0.8	0.97837	7305.82	3886.0	0.01	1.7812	0.1	0.95	1281000.0	0.0
Stercorarius maccormicki	15e1f2d9818ba3046dff1e228d1587b6	332.281	6.5	8.452e-45	3392.41	0.002	0.8	0.98589	7372.09	5515.0	0.01	1.6932	0.1	0.95	2246000.0	0.0
Stercorarius skua	0a044c4812738721275215f803d29c25	373.365	6.5	6.886e-47	3818.65	0.002	0.8	0.98603	7318.65	6798.0	0.01	1.934	0.1	0.95	2494000.0	0.0
Sterna paradisaea	b20a894252b52f4c191ef168d1a7aaad	1676.4	6.5	6.12e-65	5595.97	0.002	0.8	0.98967	7327.02	676.5	0.01	0.44987	0.1	0.95	269100.0	0.0
Struthio camelus	26bf9d7919fc7dfe27d77f02f459b60f	37.2805	6.5	1.763e-26	1657.12	0.002	0.8	0.92241	7308.53	290000.0	0.05	0.28713	0.1	0.95	99180000.0	0.0
Sula bassana	4dc3e535a6a6253e4adceb72157431fe	662.922	6.5	3.877e-61	6221.88	0.002	0.5	0.99486	7321.66	1122.0	0.05	0.25516	0.1	0.95	1258000.0	0.0
Sula nebouxii	ea3be33231335317a364427a5bcc38f3	538.76	6.5	2.201e-39	4366.88	0.002	0.5	0.96492	7321.01	6407.0	0.05	0.27124	0.1	0.95	4495000.0	0.0
Sylvia atricapilla	4134d00c993b71067bfeb807a0d09c4b	1038.0	6.5	2.012e-28	1980.7	0.002	0.8	0.9944	7324.45	70.55	0.01	0.21414	0.1	0.95	71.53	0.0
Tachyglossus aculeatus	db1edc1588907fc51323d4829f25036a	143.799	6.5	2.41827e-12	1354.74	0.002	0.8	0.999267	7840.8	0.455724	0.01	0.0500454	0.1	0.95	42707.4	0.0
Tauraco erythrolophus	4044ed76e392318b4727c7de43ddb7a5	26.2023	6.5	7.484e-25	162.631	0.0016335	0.8	0.98079	7312.02	1708.0	0.05	0.07075	0.1	0.95	4233.0	0.0
Tetrastes bonasia	48797b9cd84c84166eca6c1bc4a3b01f	591.074	6.5	3.201e-11	2167.86	0.002	0.8	0.99562	7327.19	78.47	0.01	0.034148	0.1	0.95	1521.0	0.0
Thalassarche melanophrys	9fad68b95fb3aebcce48f0d9fae66787	171.939	6.5	1.039e-26	2170.25	0.002	0.8	0.98713	7309.89	11860.0	0.01	0.46177	0.1	0.95	1887000.0	0.0
Tichodroma muraria	1c8d1f126dda2f5330c60f85fcfb30c4	235.851	6.5	3.329e-30	462.291	0.002	0.8	0.93781	7336.26	531.7	0.01	0.031974	0.1	0.95	47170.0	0.0
Tiliqua rugosa	03bd821efb1cfb6c36d9b5037df77a69	59.37	6.5	4.679e-10	477.483	0.002	0.85	0.9083	7795.0	51660.0	0.0001	0.06563	0.1	0.95	209400.0	0.0
Todiramphus cinnamominus	1c50b024147aadb63f1f128e5afa7e79	414.566	6.5	8.281e-18	1352.85	0.0019646	0.8	0.99118	7317.21	288.0	0.01	0.24083	0.1	0.95	10520.0	0.0
Torpedo marmorata	e4e52fc8719b66d823e7a9d0aba0f384	17.43	6.5	6.503e-08	432.44	0.002	0.8	0.9609	5231.0	379.6	0.0001	0.01667	0.1	0.95	44380.0	0.0
Toxostoma recurvirostre	004ebe47b553114eda7f8ccc707f1348	3685.29	6.5	6.418e-14	6139.32	0.002	0.8	0.99808	7349.36	13.83	0.01	0.12334	0.1	0.95	956.3	0.0
Tringa flavipes	dfc3b9462212b04edcb721a3db10791e	843.936	6.5	5.944e-38	2831.82	0.002	0.8	0.99729	7317.1	159.2	0.01	0.3912	0.1	0.95	8400.0	0.0
Triops longicaudatus	cd00dfd705355d80c95c024877f73428	3382.0	6.5	2.861e-05	1450.84	0.002	0.8	0.99	4468.0	0.0002785	0.1	0.06028	0.1	0.95	1.81	0.0
Troglodytes aedon	844d88011fccf9fc3ebd08155e87483b	1064.3	6.5	1.491e-20	1239.13	0.002	0.8	0.89558	7327.98	1608.0	0.01	0.025246	0.1	0.95	47580.0	0.0
Trygonoptera personata	739fdc4060e8c6a65d8025878bac5d8b	25.4	6.5	1.297e-08	286.647	0.002	0.8	0.8675	5235.0	36970.0	0.0001	0.1612	0.1	0.95	422300.0	0.0
Turdus merula	8539f68b2f729827c29dc81a2b30763a	1669.88	6.5	5.606e-34	4939.19	0.002	0.8	0.98096	7313.83	199.6	0.01	0.26751	0.1	0.95	353800.0	0.0
Tyrannosaurus rex	5b355e6aa28cdfd9bed3c5ed8f4a828d	15.01	6.5	6.191e-11	1268.52	0.002	0.8	0.9252	7847.0	112300.0	0.5	0.01179	0.1	0.95	147300000.0	0.0
Tyrannus tyrannus	e2f3ff2fc877b9322dbd4fbe6a87f5f7	795.342	6.5	1.054e-30	2290.14	0.002	0.8	0.94265	7409.43	1025.0	0.01	0.36989	0.1	0.95	468300.0	0.0
Tyto alba	209f39fc2e9248df2eb3ca89e0efbfa1	615.887	6.5	5.483e-18	3199.42	0.002	0.8	0.83487	7319.11	10090.0	0.01	0.16211	0.1	0.95	4601000.0	0.0
Uria aalge	1f21d6d69cb8c09be9a27485d68bc4d1	411.469	6.5	6.677e-18	3385.85	0.002	0.8	0.60458	7394.27	91820.0	0.01	0.06989	0.1	0.95	16460000.0	0.0
Uria lomvia	4a4b216694d920384c31bd8854e0f1d8	308.224	6.5	3.255e-14	2377.63	0.002	0.8	0.6027	7310.15	86800.0	0.01	0.041946	0.1	0.95	10110000.0	0.0
Urocolius macrourus	e563e083718e4eb3a35fbcbde6fcaadd	369.124	6.5	3.902e-27	1341.26	0.002	0.8	0.91732	7313.48	1329.0	0.01	0.45389	0.1	0.95	550700.0	0.0
Vanellus armatus	6034cc9bf59a797ca53b2e50c0241a25	688.357	6.5	3.2e-14	1919.21	0.002	0.8	0.99121	7322.63	243.2	0.01	0.044039	0.1	0.95	11860.0	0.0
Vanellus coronatus	6b2bf7e07f766050de717c4a411774c2	519.563	6.5	7.13e-15	1839.8	0.002	0.8	0.86779	7321.93	5670.0	0.01	0.054778	0.1	0.95	1101000.0	0.0
Varanus komodoensis	9734ef854130b3011fb9ec9be37afed1	21.2196	6.5	9.17186e-11	725.187	0.002	0.8	0.975593	7840.35	6957.13	0.0001	0.0784273	0.1	0.95	1735770.0	0.0
Vipera berus	ced985dbbced31f2f74e641a992cb299	44.57	6.5	2.855e-09	355.587	0.002	0.8	0.5129	7829.0	17240.0	0.0001	0.02759	0.1	0.95	366000.0	0.0
Vultur gryphus	e012d92f1ab45b81706d72e36c5512e0	17.3661	6.5	1.05e-16	383.642	0.002	0.8	0.90948	7283.04	107800.0	0.01	0.1198	0.1	0.95	6835000.0	0.0
Zeus faber	bf90fcde968c06d7a7f8cfca8d697a6f	17.6659	6.5	1.69565e-08	258.443	0.002	0.8	0.884765	5230.42	0.224495	0.0001	0.0201762	0.1	0.95	91064.2	0.0
