Name	CoL ID	p_M (J/d.cm^3)	F_m (l/d.cm^2)	h_a (1/d^2)	p_Am (J/d.cm^2)	k_J (1/d)	kap_X (-)	kap (-)	E_G (J/cm^3)	E_Hb (J)	s_G (-)	v (cm/d)	kap_P (-)	kap_R (-)	E_Hp (J)	p_T (J/d.cm^2)
Cuculus canorus	01a48abb4f3aba76b904ac4c7a32f20a	894.106	6.5	2.879e-81	3305.02	0.002	0.8	0.99793	7323.22	23.46	0.05	0.39301	0.1	0.95	5637.0	0.0
Daphnia cucullata	3eb62cdbb1d096da9cfcabc1b19e18aa	1400.0	6.5	3.048e-06	86.9534	0.002	0.8	0.73	4400.0	0.002865	0.0001	0.03627	0.1	0.95	0.0155	0.0
Daphnia hyalina	29d9d22b0b26cf7307af8c0faaa8cf06	1600.0	6.5	7.074e-05	208.0	0.002	0.8	0.59	4400.0	0.02201	0.0001	0.08	0.1	0.95	0.1235	0.0
Daphnia magna	e44e0a35c2cdb085859074a9fe73abdf	1453.0	6.5	0.0003105	315.611	0.002	0.9	0.61	4400.0	0.01379	-0.3	0.1584	0.05	0.95	0.3211	0.0
Daphnia pulex	1274b0b445ebb1c66cc1c92f024359f4	1599.0	6.5	7.909e-05	520.825	0.002	0.8	0.4378	4448.0	0.26	0.0001	0.04889	0.1	0.95	3.926	0.0
Daspletosaurus torosus	d220ef2c6ad58b7d730719f5ad838bf8	15.9	6.5	2.335e-11	1068.07	0.002	0.8	0.8338	7847.0	351800.0	0.5	0.01524	0.1	0.95	185500000.0	0.0
Dendrobaena octaedra	6ec54faf2fcf669ae87e31911d422933	460.8	6.5	5.566e-09	335.689	0.002	0.8	0.8648	4171.0	2.086	0.0001	0.1585	0.1	0.95	205.0	0.0
Dermochelys coriacea	dd8153b49c7daf4582b11583525bc26c	21.178	6.5	1.93879e-09	1191.41	0.002	0.206503	0.916651	7843.18	7550.16	0.0001	0.0865079	0.2	0.95	82514900.0	0.0
Diaphanosoma brachyurum	dd213856b4a492a6f01afd65e70991d4	772.4	6.5	0.0008197	45.7963	0.002	0.8	0.7362	4436.0	0.004503	0.0001	0.02326	0.1	0.95	0.0165	0.0
Diomedea exulans	9cf46c5413e6bef61c029d6cef69ff57	682.722	6.5	2.358e-17	6753.63	0.002	0.8	0.99736	7335.44	1827.0	0.01	0.095851	0.1	0.95	632300.0	0.0
Dromaius novaehollandiae	e211d1636655d7a1b1f48fdb2c584dae	28.1567	6.5	1.894e-17	1041.01	0.0016448	0.8	0.96551	7319.17	93090.0	0.01	0.6718	0.1	0.95	17990000.0	0.0
Egernia cunninghami	91fe397b8044dd1066106e58c5e37c52	37.61	6.5	1.861e-10	291.675	0.002	0.8	0.5818	7827.0	18690.0	0.0001	0.02167	0.1	0.95	589800.0	0.0
Electrophorus electricus	3cef65beebb836d276014fb79322b074	17.94	6.5	2.564e-08	277.848	0.002	0.8	0.9782	5200.0	0.1824	0.0001	0.01233	0.1	0.95	21010.0	0.0
