Name	CoL ID	p_M (log10 J/d.cm^3)	F_m (log10 l/d.cm^2)	h_a (log10 1/d^2)	p_Am (log10 J/d.cm^2)	k_J (log10 1/d)	kap_X (log10 -)	kap (log10 -)	E_G (log10 J/cm^3)	E_Hb (log10 J)	s_G (log10 -)	v (log10 cm/d)	kap_P (log10 -)	kap_R (log10 -)	E_Hp (log10 J)	p_T (log10 J/d.cm^2)
Hippocampus whitei	46216a4024c47e7b05bf40754e15647e	1.72156331836	0.812913356643	-7.59722293039	2.20331579376	-2.69897000434	-0.0969100130081	-0.256960845195	3.71340653217	2.05115252245	-4.0	-1.25119199504	-1.0	-0.0222763947112	3.43632170014	
Hirundichthys affinis	dcc59c1ff44e5086c007ead8f39618f7	2.05269394192	0.812913356643	-6.88008458974	2.80353017477	-2.69897000434	-0.0969100130081	-0.0273806609404	3.71800316827	-0.0109508435618	-4.0	-0.925915310972	-1.0	-0.0222763947112	4.48657215052	
Holocentrus adscensionis	09be05d2d25f1e7254c0380f441b7fa3	1.7865384805	0.812913356643	-8.78621670066	2.73114054189	-2.69897000434	-0.0969100130081	-0.00239521253955	3.71775369321	-3.11776015198	-4.0	-1.33517005886	-1.0	-0.0222763947112	2.63648789635	
Kryptolebias marmoratus	8c24a2a18bf61d804420086edc99c306	2.28555730901	0.812913356643	-7.69486368106	2.14485741846	-2.69897000434	-0.0969100130081	-0.0758241296981	3.71783686749	-0.11373494097	-4.0	-1.98088370955	-1.0	-0.0222763947112	0.933031495102	
Lacerta agilis	7e1a059719ca73323daa52f23a19a64d	1.81776363228	0.812913356643	-8.10684878687	2.1928795426	-2.69897000434	-0.0969100130081	-0.100726812682	3.8938726788	2.59195455505	-4.0	-1.53955321612	-1.0	-0.0222763947112	4.27806733089	
Lacerta strigata	13b6f7649bd9cb39390aa38518fca717	1.44653716707	0.812913356643	-7.87321942299	2.09605099813	-2.69897000434	-0.0969100130081	-0.245193144646	3.89370629306	3.37712404235	-4.0	-1.64493179365	-1.0	-0.0222763947112	4.49665293925	
Lampetra planeri	7849536da20a2a4d44365ac33b8c8b98	1.70027093736	0.812913356643	-25.4756038779	2.38248712359	-2.69897000434	-0.0969100130081	-0.355266072553	3.509874285	2.10448711131	-0.301029995664	-0.558619115083	-1.0	-0.0222763947112	4.381295623	
Larus argentatus	6d0b384ca6c3c1ec2eb97706da11eae8	2.55673055236	0.812913356643	-42.6071272546	3.46803996571	-2.69897000434	-0.0969100130081	-0.00623762000351	3.86507612676	3.58081097266	-2.0	-0.362150175544	-1.0	-0.0222763947112	6.04649516433	
Latimeria chalumnae	46ffe2e071c4d553d33e36794a179846	1.28011150333	0.812913356643	-8.60138995778	2.85510525818	-2.69897000434	-0.0969100130081	-0.139496094676	3.71845020157	5.09900692785	-4.0	-1.32032141158	-1.0	-0.0222763947112	7.43862777536	
Lepadogaster lepadogaster	e51f4ae6bb47355df4b30132303ea92b	1.68877565527	0.812913356643	-8.2809174261	1.92474951709	-2.69897000434	-0.0969100130081	-0.0182266813723	3.71750407476	-0.197499932236	-4.0	-1.31443738884	-1.0	-0.0222763947112	2.55702572239	
Lepidochelys kempii	54e9e281f6d060b3f03a3d1295107826	1.30470589821	0.812913356643	-8.84740592207	2.86232283234	-2.69897000434	-0.0969100130081	-0.159329438667	3.89437145386	4.1218879851	-4.0	-1.37253172754	-1.0	-0.0222763947112	7.56205482966	
Leptodora kindtii	d8f23f51d85cb363bede2f3632517e87	1.63806274013	0.812913356643	-5.08431741136	1.18366835736	-2.69897000434	-0.0969100130081	-0.00646854379265	2.90960951049	-3.49104225746	-4.0	-0.983831935157	-1.0	-0.0222763947112	-2.77164841233	
Leptosomus discolor	fb7bb155923268f8cec398b5e34a27b5	1.41012403575	0.812913356643	-20.2467234298	2.19313851783	-2.7083426039	-0.0969100130081	-0.00323010448294	3.86392569442	2.17695898059	-2.0	-0.658150175915	-1.0	-0.0222763947112	3.26646689544	
Leucoraja erinacea	2b6c3cc7234a53cc6229a9883c9075af	1.46597736829	0.812913356643	-6.64569943765	2.54284409251	-2.69897000434	-0.0969100130081	-0.215810794619	3.71783686749	3.76871208038	-4.0	-1.27237742203	-1.0	-0.0222763947112	6.08707120591	
Limnodromus griseus	e45c6cab6f6609688ad3f1f3fcd1ff3f	2.28559106115	0.812913356643	-37.258297016	2.94703306468	-2.69897000434	-0.0969100130081	-0.00360216994805	3.86350843674	2.82366981327	-2.0	-0.0879268091926	-1.0	-0.0222763947112	4.00432137378	
Limosa haemastica	33c1fb3078fbaabe8a5b2112bece7d67	2.33844454038	0.812913356643	-39.7918274733	3.14533938577	-2.69897000434	-0.0969100130081	-0.0163556740193	3.86426419873	3.65388755807	-2.0	-0.338168391368	-1.0	-0.0222763947112	5.93611143167	
Lissotriton vulgaris	8eb8ecd651629c0276ce18bb308d38e8	1.92319219042	0.812913356643	-8.24146657776	2.02000889706	-2.69897000434	-0.0969100130081	-0.0275194501235	3.86391737696	-0.82246350007	-4.0	-1.65169513695	-1.0	-0.0222763947112	2.27067883614	
Lophophanes cristatus	cd1512991114f0bcfd9c50282ed817d7	3.06527339738	0.812913356643	-21.8452717926	3.29300878666	-2.69897000434	-0.0969100130081	-0.0180863022589	3.8643656986	2.32654066852	-2.0	-0.940815382369	-1.0	-0.0222763947112	4.93951925262	
Magellania fragilis	397256b281a713c08dd827ce925a4418	0.268163603344	0.812913356643	-9.11459580504	0.557988148225	-2.69897000434	-0.0969100130081	-0.0904498540983	3.26278083846	-2.95992007663	-4.0	-1.9810998716	-1.0	-0.0222763947112	1.69682712894	
Maiasaura peeblesorum	a8a49429384c6e0baa7d523cfa760e16	1.3384564936	0.812913356643	-16.3581294545	3.36759071207	-2.69897000434	-0.0969100130081	-0.00178426762904	3.89353984356	3.57553421832	-0.301029995664	-0.713319030645	-1.0	-0.0222763947112	7.44731310882	
Mallotus villosus	6de343f6ed58029def4a6735f32b7771	1.30685374869	0.812913356643	-6.15895353459	1.94833862072	-2.69897000434	-0.0969100130081	-0.0551226940363	3.7182525001	-1.53476590501	-4.0	-1.39351114956	-1.0	-0.0222763947112	3.23854788768	
Mamenchisaurus spec	09080b2ff70ef25106845e16faaaeba6	1.25623653321	0.812913356643	-14.6645420993	3.3769545196	-2.69897000434	-0.0969100130081	-0.0459022795208	3.89459294792	5.70833590268	-0.301029995664	-1.6981022828	-1.0	-0.0222763947112	8.98730867373	
Manta birostris	a8df6db60161ecbce7691570e5ce3b33	1.18212921405	0.812913356643	-9.31149119234	3.08971793609	-2.69897000434	-0.0969100130081	-0.0111735929547	3.7190825739	5.62787769458	-4.0	-0.945004138471	-1.0	-0.0222763947112	7.37235958252	
Mastacembelus erythrotaenia	9f4397e88523d3980ca643eb8822e6fc	1.33122478102	0.812913356643	-8.23062267392	2.42165656544	-2.69897000434	-0.0969100130081	-0.000173752545588	3.71816940539	-2.99310629205	-4.0	-1.68006156002	-1.0	-0.0222763947112	2.48911436938	
Meganyctiphanes norvegica	5f895dc8e3d3fb0271a3c2069716b463	2.18326984368	0.812913356643	-5.64073383539	2.18875979295	-2.69897000434	-0.483993769614	-0.0632350023901	3.64345267649	-1.77520804351	-4.0	-1.16033344312	-0.301029995664	-0.0222763947112	1.59328606702	
Melanitta perspicillata	f9894443879efbdfd2b1b84dddc7b32a	2.28519487071	0.812913356643	-84.1182730646	3.25914693244	-2.69897000434	-0.0969100130081	-0.0388875307731	3.86545873066	4.30146407314	-1.0	-0.261274920632	-1.0	-0.0222763947112	6.72924580723	
Melopsittacus undulatus	f683faf1a057f5da3a1c30c0bbaf51fd	2.60690778924	0.812913356643	-45.876148359	3.14058974054	-2.69897000434	-0.0969100130081	-0.00271411790555	3.86447370165	1.79581052467	-2.0	-0.305868835476	-1.0	-0.0222763947112	4.11660774399	
Mergus merganser	dd005d87ee7a39a731b69942401091df	2.62076152997	0.812913356643	-12.12720296	3.57946804707	-2.69897000434	-0.0969100130081	-0.242110734945	3.86393995255	4.64355136856	-2.0	-1.2042033752	-1.0	-0.0222763947112	7.33000770087	
Mergus serrator	b1285f6800c3631e6fbcb7793b07ad46	2.682679264	0.812913356643	-14.6495581435	3.6350542666	-2.69897000434	-0.0969100130081	-0.231620924992	3.86377655003	4.70191321121	-2.0	-0.990081915334	-1.0	-0.0222763947112	7.38093446333	
Mesitornis variegatus	a990bffed92b9b55d3f6cfb8572597e8	1.43216405838	0.812913356643	-22.1245335841	2.07613778375	-2.69897000434	-0.0969100130081	-0.00626405543474	3.86350130064	2.58024050827	-1.0	-1.38388173125	-1.0	-0.0222763947112	3.12807601267	
Mola mola	ad52cc37a5ce66e98b9ba0195b9d8cb7	1.31026836663	0.812913356643	-10.2136745656	3.43399851813	-2.69897000434	-0.0969100130081	-0.101713721411	3.71816940539	0.10551018477	-4.0	-0.224826614575	-1.0	-0.0222763947112	8.63748972951	
Moniliformis dubius	2db31682f5ec69386b23ea4212b709b1	1.77844068357	0.812913356643	-6.29268536641	1.86266080031	-2.69897000434	-0.0969100130081	-0.0528114344739	3.25935492731	0.248953615496	-4.0	-1.49106647395	-1.0	-0.0222763947112	1.86480762903	
Motacilla flava	eca91fcd14896fe760fc1c8eef9774bf	3.45420132285	0.812913356643	-21.4753442876	3.65705202646	-2.69897000434	-0.0969100130081	-0.00378175084043	3.86469259245	1.47610671684	-2.0	-0.707810407377	-1.0	-0.0222763947112	4.60162547955	
Myxine glutinosa	479e73c761b0b5e206c1fbcd072a884b	1.9049318274	0.812913356643	-7.4756038779	2.68021672352	-2.69897000434	-0.0969100130081	-0.119186407719	3.64522571154	2.86362022027	-4.0	-1.01072820836	-1.0	-0.0222763947112	4.81537848497	
Natrix natrix	27ec70b00734b68213ff0972f7360650	1.40790054014	0.812913356643	-8.31578320486	2.46410486106	-2.69897000434	-0.0969100130081	-0.226579276709	3.89398356721	3.84148460934	-4.0	-1.57430278664	-1.0	-0.0222763947112	5.53428000521	
Neoceratodus forsteri	f3f583180b1b6979f36e97c7c6a5a23c	1.1152775914	0.812913356643	-9.67633546439	2.44320194719	-2.69897000434	-0.0969100130081	-0.00056495012367	3.75823040846	-1.74352279376	-4.0	-1.76195389687	-1.0	-0.0222763947112	4.58860780474	
